pillar,question,choice,ta_check,description
Security,SEC 1 How do you securely operate your workload?,P0 Secure account root user and properties,MFA on Root Account,"Description: Checks the root account and warns if multi-factor authentication (MFA) is not enabled. For increased security, we recommend that you protect your account by using MFA, which requires a user to enter a unique authentication code from their MFA hardware or virtual device when interacting with the AWS console and associated websites.		Note		For your AWS Organization management account, AWS requires multi-factor authentication (MFA) for the root user when accessing the AWS Console.		For your AWS Organizations member accounts, AWS recommends the use of MFA. Also, you can use an AWS Organizations Service Control Policy (SCP) to effectively block all root actions. For more information, please see Best practices for member accounts in AWS Organizations User Guide.				Alert Criteria		Red: MFA is not enabled on the root account.				Recommended Action		Log in to your root account and activate an MFA device. See Checking MFA Status and Setting Up an MFA Device.		You can enable MFA on your account at any time by visiting the ""Security Credentials"" page, which is available in the top right account menu drop-down in the AWS Management Console. We support multiple industry standard forms of MFA, such as FIDO2 and virtual authenticators, to give you flexibility to choose a MFA device that meets your needs. We also recommend that you register more than one MFA device for resiliency, in the event one of your MFA devices is lost or stops working.				Additional Resources		Please refer to General steps for enabling MFA devices and Enable a virtual MFA device for your AWS account root user (console) in our AWS IAM User Guide for additional information."
Security,SEC 1 How do you securely operate your workload?,P0 Secure account root user and properties,IAM Password Policy,"Description: Checks the password policy for your account and warns when a password policy is not enabled, or if password content requirements have not been enabled. Password content requirements increase the overall security of your AWS environment by enforcing the creation of strong user passwords. When you create or change a password policy, the change is enforced immediately for new users but does not require existing users to change their passwords. 				Alert Criteria		Green: A password policy is enabled with recommended content requirement enabled.		Yellow: A password policy is enabled, but at least one content requirement is not enabled.  		Red: No password policy is enabled. 				Recommended Action		If some content requirements are not enabled, consider enabling them. If no password policy is enabled, create and configure one. See Setting an Account Password Policy for IAM Users.		To access the AWS Management Console, IAM users need passwords. As a best practice, AWS highly recommends that instead of creating IAM users, you use federation. Federation allows users to use their existing corporate credentials to log into the AWS Management Console. Use AWS IAM Identity Center to create or federate the user, and then assume an IAM role into an account.		To learn more about identity providers and federation, see Identity providers and federation in the IAM User Guide. To learn more about IAM Identity Center, see the AWS IAM Identity Center User Guide. 				Additional Resources		Managing Passwords"
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",MFA on Root Account,"Description: Checks the root account and warns if multi-factor authentication (MFA) is not enabled. For increased security, we recommend that you protect your account by using MFA, which requires a user to enter a unique authentication code from their MFA hardware or virtual device when interacting with the AWS console and associated websites.		Note		For your AWS Organization management account, AWS requires multi-factor authentication (MFA) for the root user when accessing the AWS Console.		For your AWS Organizations member accounts, AWS recommends the use of MFA. Also, you can use an AWS Organizations Service Control Policy (SCP) to effectively block all root actions. For more information, please see Best practices for member accounts in AWS Organizations User Guide.				Alert Criteria		Red: MFA is not enabled on the root account.				Recommended Action		Log in to your root account and activate an MFA device. See Checking MFA Status and Setting Up an MFA Device.		You can enable MFA on your account at any time by visiting the ""Security Credentials"" page, which is available in the top right account menu drop-down in the AWS Management Console. We support multiple industry standard forms of MFA, such as FIDO2 and virtual authenticators, to give you flexibility to choose a MFA device that meets your needs. We also recommend that you register more than one MFA device for resiliency, in the event one of your MFA devices is lost or stops working.				Additional Resources		Please refer to General steps for enabling MFA devices and Enable a virtual MFA device for your AWS account root user (console) in our AWS IAM User Guide for additional information."
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",Password policies for IAM users should have strong configurations,"Description: Checks if the account password policy for IAM users uses the following recommended configurations: RequireUppercaseCharacters: true, RequireLowercaseCharacters: true, RequireSymbols: true, RequireNumbers: true, MinimumPasswordLength: 8.				Source		AWS Security Hub		Security Hub control ID: IAM.7				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue."
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",Hardware MFA should be enabled for the root user,Description: Checks if your AWS account is enabled to use hardware multi-factor authentication (MFA) device to sign in with root credentials.				Source		AWS Security Hub		Security Hub control ID: IAM.6				Alert Criteria		Red: Critical or High. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",MFA should be enabled for all IAM users that have a console password,Description: Checks if AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.				Source		AWS Security Hub		Security Hub control ID: IAM.5				Alert Criteria		Yellow: Medium or Low. Security Hub control failed.				Recommended Action		Follow the Security Hub documentation to fix the issue.
Security,SEC 2 How do you manage identities for people and machines?,P1 Use strong sign-in mechanisms - Enforce strong password policy,IAM Password Policy,"Description: Checks the password policy for your account and warns when a password policy is not enabled, or if password content requirements have not been enabled. Password content requirements increase the overall security of your AWS environment by enforcing the creation of strong user passwords. When you create or change a password policy, the change is enforced immediately for new users but does not require existing users to change their passwords. 				Alert Criteria		Green: A password policy is enabled with recommended content requirement enabled.		Yellow: A password policy is enabled, but at least one content requirement is not enabled.  		Red: No password policy is enabled. 				Recommended Action		If some content requirements are not enabled, consider enabling them. If no password policy is enabled, create and configure one. See Setting an Account Password Policy for IAM Users.		To access the AWS Management Console, IAM users need passwords. As a best practice, AWS highly recommends that instead of creating IAM users, you use federation. Federation allows users to use their existing corporate credentials to log into the AWS Management Console. Use AWS IAM Identity Center to create or federate the user, and then assume an IAM role into an account.		To learn more about identity providers and federation, see Identity providers and federation in the IAM User Guide. To learn more about IAM Identity Center, see the AWS IAM Identity Center User Guide. 				Additional Resources		Managing Passwords"
Security,SEC 2 How do you manage identities for people and machines?,P0 Store and use secrets securely - i.e. never Exposed Access Keys in public Git Repo,IAM Access Key Rotation,"Description: Checks for active IAM access keys that have not been rotated in the last 90 days.  When you rotate your access keys regularly, you reduce the chance that a compromised key could be used without your knowledge to access resources. For the purposes of this check, the last rotation date and time is when the access key was created or most recently activated. The access key number and date come from the access_key_1_last_rotated and access_key_2_last_rotated information in the most recent IAM credential report. Because the regeneration frequency of a credential report  is restricted, refreshing this check might not reflect recent changes (for details, see Getting Credential Reports for Your AWS Account).		In order to create and rotate access keys, a user must have the appropriate permissions. For more information, see Allow Users to Manage Their Own Passwords, Access Keys, and SSH Keys.				Alert Criteria		Green: The access key is active and has been rotated in the last 90 days.		Yellow: The access key is active and has been rotated in the last 2 years, but more than 90 days ago.		Red: The access key is active and has not been rotated in the last 2 years.				Recommended Action		Rotate access keys on a regular basis. See Rotating Access Keys and Managing Access Keys for IAM Users.				Additional Resources		IAM Best Practices		How to rotate access keys for IAM users (AWS blog)"
Security,SEC 2 How do you manage identities for people and machines?,P0 Store and use secrets securely - i.e. never Exposed Access Keys in public Git Repo,Exposed Access Keys,"Description: Checks popular code repositories for access keys that have been exposed to the public and for irregular Amazon Elastic Compute Cloud (Amazon EC2) usage that could be the result of a compromised access key. An access key consists of an access key ID and the corresponding secret access key. Exposed access keys pose a security risk to your account and other users, could lead to excessive charges from unauthorized activity or abuse, and violate the AWS Customer Agreement. If your access key is exposed, take immediate action to secure your account. To protect your account from excessive charges, AWS temporarily limits your ability to create certain AWS resources when exposed access keys are identified. This does not make your account secure; it only partially limits the unauthorized usage for which you could be charged. Note: This check does not guarantee the identification of exposed access keys or compromised EC2 instances. You are ultimately responsible for the safety and security of your access keys and AWS resources.   				If a deadline is shown for an access key, AWS may suspend your AWS account if the unauthorized usage is not stopped by that date. If you believe an alert is in error, contact AWS Support.				The information displayed in Trusted Advisor may not reflect the most recent state of your account. No exposed access keys are marked as resolved until all exposed access keys on the account have been resolved. This data synchronization can take up to one week.				Alert Criteria		Red: Potentially compromised - AWS has identified an access key ID and corresponding secret access key that have been exposed on the Internet and may have been compromised (used).		Red: Exposed - AWS has identified an access key ID and corresponding secret access key that have been exposed on the Internet.		Red: Suspected - Irregular Amazon EC2 usage indicates that an access key may have been compromised, but it has not been identified as exposed on the Internet.				Recommended Action		Delete the affected access key as soon as possible. If the key is associated with an IAM user, see Managing Access Keys for IAM Users.				Check your account for unauthorized usage. Log in to the AWS Management Console and check each service console for suspicious resources. Pay special attention to running Amazon EC2 instances, Spot Instance requests, access keys, and IAM users. You can also check overall usage on the Billing & Cost Management Dashboard.				Additional Resources		Best Practices for Managing AWS Access Keys		AWS Security Audit Guidelines"
Security,SEC 2 How do you manage identities for people and machines?,"P1 Store and use secrets securely - i.e. store database, app secret etc in Secret Manager or equivalent.",IAM Access Key Rotation,"Description: Checks for active IAM access keys that have not been rotated in the last 90 days.  When you rotate your access keys regularly, you reduce the chance that a compromised key could be used without your knowledge to access resources. For the purposes of this check, the last rotation date and time is when the access key was created or most recently activated. The access key number and date come from the access_key_1_last_rotated and access_key_2_last_rotated information in the most recent IAM credential report. Because the regeneration frequency of a credential report  is restricted, refreshing this check might not reflect recent changes (for details, see Getting Credential Reports for Your AWS Account).		In order to create and rotate access keys, a user must have the appropriate permissions. For more information, see Allow Users to Manage Their Own Passwords, Access Keys, and SSH Keys.				Alert Criteria		Green: The access key is active and has been rotated in the last 90 days.		Yellow: The access key is active and has been rotated in the last 2 years, but more than 90 days ago.		Red: The access key is active and has not been rotated in the last 2 years.				Recommended Action		Rotate access keys on a regular basis. See Rotating Access Keys and Managing Access Keys for IAM Users.				Additional Resources		IAM Best Practices		How to rotate access keys for IAM users (AWS blog)"
